00007fea99ffd000    8192      12      12 rw---   [ anon ]
00007fea99ffd000       0       0       0 rw---   [ anon ]
00007fea9a7fd000       4       0       0 -----   [ anon ]
00007fea9a7fd000       0       0       0 -----   [ anon ]
00007fea9a7fe000    8192      12      12 rw---   [ anon ]
00007fea9a7fe000       0       0       0 rw---   [ anon ]
00007fea9affe000       4       0       0 -----   [ anon ]
00007fea9affe000       0       0       0 -----   [ anon ]
00007fea9afff000    8192      12      12 rw---   [ anon ]
00007fea9afff000       0       0       0 rw---   [ anon ]
00007fea9b7ff000       4       0       0 -----   [ anon ]
00007fea9b7ff000       0       0       0 -----   [ anon ]
00007fea9b800000    8192      12      12 rw---   [ anon ]
00007fea9b800000       0       0       0 rw---   [ anon ]
00007fea9c000000     132       4       4 rw---   [ anon ]
00007fea9c000000       0       0       0 rw---   [ anon ]
00007fea9c021000   65404       0       0 -----   [ anon ]
00007fea9c021000       0       0       0 -----   [ anon ]
00007feaa0000000     132       4       4 rw---   [ anon ]
00007feaa0000000       0       0       0 rw---   [ anon ]
00007feaa0021000   65404       0       0 -----   [ anon ]
00007feaa0021000       0       0       0 -----   [ anon ]
00007feaa4000000     132       4       4 rw---   [ anon ]
00007feaa4000000       0       0       0 rw---   [ anon ]
00007feaa4021000   65404       0       0 -----   [ anon ]
00007feaa4021000       0       0       0 -----   [ anon ]
00007feaa8000000     132       4       4 rw---   [ anon ]
00007feaa8000000       0       0       0 rw---   [ anon ]
00007feaa8021000   65404       0       0 -----   [ anon ]
00007feaa8021000       0       0       0 -----   [ anon ]
00007feaac000000     132       4       4 rw---   [ anon ]
00007feaac000000       0       0       0 rw---   [ anon ]
00007feaac021000   65404       0       0 -----   [ anon ]
00007feaac021000       0       0       0 -----   [ anon ]
00007feab0000000     132       4       4 rw---   [ anon ]
00007feab0000000       0       0       0 rw---   [ anon ]
00007feab0021000   65404       0       0 -----   [ anon ]
00007feab0021000       0       0       0 -----   [ anon ]
00007feab4000000     132       4       4 rw---   [ anon ]
00007feab4000000       0       0       0 rw---   [ anon ]
00007feab4021000   65404       0       0 -----   [ anon ]
00007feab4021000       0       0       0 -----   [ anon ]
00007feab8000000     132       4       4 rw---   [ anon ]
00007feab8000000       0       0       0 rw---   [ anon ]
